Row Labels,Max of Close
2000,1212.66
2001,1246.48
2002,1237.85
2003,2594.09
2004,3497.36
2005,4692.85
2006,6330.75
2007,10090.7
2008,10698.35
2009,9526.7
2010,13268.7
2011,11894.75
2012,12510.25
2013,13317.1
2014,18782.84
2015,20555.25
2016,20426.2
2017,25891.95
2018,28320
2019,32412.35
2020,32443.85
2021,41238.3
2022,44049.1
2023,48508.55
2024,48986.6
Grand Total,48986.6
